ConstituentID,DisplayName,DisplayDate,AlphaSort,Nationality,BeginDate,EndDate,TextEntry
761,Eric Avery,"American, born 1948","Avery, Eric",American,1948,2048,NULL
780,Harry Bowden,"American, 1907-1965","Bowden, Harry",American,1907,1965,NULL
830,Reginald Marsh,"American, 1898-1954","Marsh, Reginald",American,1898,1954,NULL
832,Tom Friedman,"American, born 1965","Friedman, Tom",American,1965,2065,NULL
834,Peter Feldstein,"American, born 1942","Feldstein, Peter",American,1942,2042,NULL
836,Mel Chin,"American, born 1951","Chin, Mel",American,1951,2051,NULL
863,El Lissitzky,"Russian, 1890-1941","Lissitzky, El",Russian,1890,1941,NULL
864,Ann Hamilton,"American, born 1956","Hamilton, Ann",American,1956,2056,NULL
865,Christy Wyckoff,"American, born 1946","Wyckoff, Christy",American,1946,2046,NULL
873,Talia Segal,"Israeli, born 1967","Segal, Talia",Israeli,1967,2067,NULL
903,Albert Oehlen,"German, born 1954","Oehlen, Albert",German,1954,2054,NULL
906,Pablo Picasso,"Spanish, 1881-1973","Picasso, Pablo",Spanish,1881,1973,NULL
908,Vija Celmins,"American, born 1938","Celmins, Vija",American,1938,2038,NULL
924,Tom Marioni,"American, born 1937","Marioni, Tom",American,1937,2037,NULL
925,David Nash,"British, born 1945","Nash, David",British,1945,2045,NULL
926,Bryan Hunt,"American, born 1947","Hunt, Bryan",American,1947,2047,NULL
946,Angus Fairhurst,"English, 1966-2008","Fairhurst, Angus",English,1966,2008,NULL
948,Christopher Wool,"American, born 1955","Wool, Christopher",American,1955,2055,NULL
952,Gavin Turk,"English, born 1967","Turk, Gavin",English,1967,2067,NULL
955,Henry Bond,"British, born 1966","Bond, Henry",English,1966,2066,NULL
956,Itai Doron,"British, born 1967","Doron, Itai",British,1967,1967,NULL
960,Lee Friedlander,"American, born 1934","Friedlander, Lee",American,1934,2034,NULL
968,Sam Taylor-Wood,"English, born 1967","Taylor-Wood, Sam",English,1967,2067,NULL
973,Tracey Emin,"English, born 1963","Emin, Tracey",English,1963,2063,NULL
974,Wolfgang Volz,"German, born 1948","Volz, Wolfgang",German,1948,1948,NULL
990,Jean-François Millet,"French, 1814-1875","Millet, Jean-François",French,1814,1875,NULL
997,Eugène Delacroix,"French, 1798-1863","Delacroix, Eugène",French,1798,1863,NULL
998,Ralph Goings,"American, born 1928","Goings, Ralph",American,1928,2028,NULL
999,Felix Gonzalez-Torres,"American, 1958-1996","Gonzalez-Torres, Felix",American,1958,1996,NULL
1065,Sandrine Guérin,"French, born 1971","Guérin, Sandrine",French,1971,2071,NULL
1066,Juan Uslé,"Spanish, born 1954","Uslé, Juan",Spanish,1954,2054,NULL
1083,Naum Gabo,"American, 1890-1977","Gabo, Naum",American,1890,1977,NULL
1087,Yasuo Kuniyoshi,"American, 1889-1953","Kuniyoshi, Yasuo",American,1889,1953,NULL
1088,Fred Tomaselli,"American, born 1956","Tomaselli, Fred",American,1956,2056,NULL
1090,Josef Albers,"American, 1888-1976","Albers, Josef",American,1888,1976,NULL
1092,Rolf Cavael,"German, 1898-1979","Cavael, Rolf",German,1898,1979,NULL
1096,Kerr Eby,"American, 1889-1946","Eby, Kerr",American,1889,1946,NULL
1130,Gerson Leiber,"American, born 1921","Leiber, Gerson",American,1921,2021,NULL
1162,Gabriel Orozco,"Mexican, born 1962","Orozco, Gabriel",Mexican,1962,2062,NULL
1170,Rosemarie Trockel,"German, born 1952","Trockel, Rosemarie",German,1952,2052,NULL
1188,Seneca Ray Stoddard,"American, 1844-1917","Stoddard, Seneca Ray",American,1844,1917,NULL
1190,Walter Askin,"American, born 1929","Askin, Walter",American,1929,2029,NULL
1198,Thomas Schütte,"German, born 1954","Schütte, Thomas",German,1954,2054,NULL
1202,Sol LeWitt,"American, 1928-2007","LeWitt, Sol",American,1928,2007,NULL
1204,Barbara Yoshida,"American, born 1945","Yoshida, Barbara",American,1945,2045,NULL
1219,Armin Landeck,"American, 1905-1984","Landeck, Armin",American,1905,1984,NULL
1226,Eva Schlegel,"Austrian, born 1960","Schlegel, Eva",Austrian,1960,2060,NULL
1229,Martin Puryear,"American, born 1941","Puryear, Martin",American,1941,2041,NULL
1232,Arthur Secunda,"American, born 1927","Secunda, Arthur",American,1927,2027,NULL
1253,Bill Jacobson,"American, born 1955","Jacobson, Bill",American,1955,2055,NULL
1265,Fairfield Porter,"American, 1907-1975","Porter, Fairfield",American,1907,1975,NULL
1324,Trinidad Mac-Auliffe,"American, born 1972","Mac-Auliffe, Trinidad",American,1972,2072,NULL
1362,Eva Hesse,"American, 1936-1970","Hesse, Eva",American,1936,1970,NULL
1363,David Hockney,"British, born 1937","Hockney, David",British,1937,2037,NULL
1387,Mario Merz,"Italian, 1925-2003","Merz, Mario",Italian,1925,2003,NULL
1388,Robert Indiana,"American, born 1928","Indiana, Robert",American,1928,2028,NULL
1390,Andy Warhol,"American, 1928-1987","Warhol, Andy",American,1928,1987,NULL
1398,Salvo,"Italian, 1947-2015",Salvo,Italian,1947,2015,NULL
1420,Gwenn Thomas,"American, born 1945","Thomas, Gwenn",American,1945,2045,NULL
1440,George Wesley Bellows,"American, 1882-1925","Bellows, George Wesley",American,1882,1925,NULL
1444,Robert Cottingham,"American, born 1935","Cottingham, Robert",American,1935,2035,NULL
1450,Mona Hatoum,"Palestinian, born 1952","Hatoum, Mona",Palestinian,1952,2052,NULL
1453,Álvaro Barrios,"Colombian, born 1945","Barrios, Álvaro",Colombian,1945,2045,NULL
1455,Juan Manuel Echavarría,"Colombian, born 1947","Echavarría, Juan Manuel",Colombian,1947,2047,NULL
1459,Miguel Ángel Rojas,"Colombian, born 1946","Rojas, Miguel Ángel",Colombian,1946,2046,NULL
1467,Grace Hartigan,"American, 1922 - 2008","Hartigan, Grace",American,1922,2008,NULL
1468,Allen Ruppersberg,"American, born 1944","Ruppersberg, Allen",American,1944,2044,NULL
1474,Olafur Eliasson,"Danish, born 1967","Eliasson, Olafur",Danish,1967,2067,NULL
1475,Richard Estes,"American, born 1932","Estes, Richard",American,1932,2032,NULL
1476,John Clem Clarke,"American, born 1937","Clarke, John Clem",American,1937,2037,NULL
1477,Richard McLean,"American, 1934-2014","McLean, Richard",American,1934,2014,NULL
1530,Lothar Osterburg,"German, born 1961","Osterburg, Lothar",German,1961,2061,NULL
1566,Irwin Hollander,"American, born 1927","Hollander, Irwin",American,1927,2027,NULL
1654,Wilson Flagg,"American, 1805-1884","Flagg, Wilson",American,1805,1884,NULL
1655,Smedley & White,"American, active 1880s",Smedley & White,American,1880,1889,Smedley & White was a partnership of Thomas D. Smedley and Luther S. White.
1658,Herbert George Ponting,"English, 1870-1935","Ponting, Herbert George",English,1870,1935,NULL
1659,Robert ParkeHarrison,"American, born 1968","ParkeHarrison, Robert",American,1968,2068,NULL
1661,John Benton-Harris,"American, born 1939","Benton-Harris, John",American,1939,2039,NULL
1662,Sanford A. Taylor,"American, born 1841","Taylor, Sanford A.",American,1841,1841,NULL
1663,Napoleon Sarony,"American, 1821-1896","Sarony, Napoleon",American,1821,1896,NULL
1664,Aimé Dupont,"American, 1842-1900","Dupont, Aimé",American,1842,1900,Business directories indicate that the studio was active until at least 1918.
1665,Sir William Stirling-Maxwell,"British, 1818-1878","Stirling-Maxwell, William Sir",British,1818,1878,NULL
1666,Benjamin Joseph Falk,"American, 1853-1925","Falk, Benjamin Joseph",American,1853,1925,NULL
1667,Gloria Hoffman,"American, 1922-2002","Hoffman, Gloria",American,1922,2002,NULL
1668,Roy J. Hyrkin,"American, born 1927","Hyrkin, Roy J.",American,1927,2027,NULL
1669,Berenice Abbott,"American, 1898-1991","Abbott, Berenice",American,1898,1991,NULL
1670,Florentin Joseph Charnaux,"Swiss, 1819-1883","Charnaux, Florentin Joseph",Swiss,1819,1883,NULL
1671,Underwood & Underwood,"American, active 1880s-1940s",Underwood & Underwood,American,1880,1949,Underwood & Underwood was a partnership of Bert Underwood and Elmer Underwood.
1672,W. R. Faribault,"American, active 1900s","Faribault, W. R.",American,1900,1900,NULL
1673,William Thompson Howell,"American, 1873-1916","Howell, William Thompson",American,1873,1916,NULL
1674,Blessing & Co.,"American, active 1887-1901",Blessing & Co.,American,1887,1901,Blessing & Co. was a partnership of J. P. Blessing and Henry Fenge.
1675,William Klein,"American, born 1928","Klein, William",American,1928,2028,NULL
1676,Herman Henneberger,"American, 1852-1924","Henneberger, Herman",American,1852,1924,NULL
1680,Mark C. Klett,"American, born 1952","Klett, Mark C.",American,1952,2052,NULL
1681,Brainard Freemont Childs,"American, 1842-1921","Childs, Brainard Freemont",American,1842,1921,NULL
1682,Esther Bubley,"American, 1921-1998","Bubley, Esther",American,1921,1998,NULL
1683,Frank Gohlke,"American, born 1942","Gohlke, Frank",American,1942,2042,NULL
1684,Conrad Doring,"German, active 1900s","Doring, Conrad",German,1900,1900,NULL
1685,Léon & Lévy,"French, active 1860s-1870s",Léon & Lévy,French,1860,1879,Léon & Lévy was a partnership of M. Léon and J. Lévy.
1686,William Henry Jackson,"American, 1843-1942","Jackson, William Henry",American,1843,1942,NULL
1687,Richard Sandler,"American, born 1946","Sandler, Richard",American,1946,2046,NULL
1688,Mark Feldstein,"American, 1937-2001","Feldstein, Mark",American,1937,2001,NULL
1689,Jeff Mermelstein,"American, born 1957","Mermelstein, Jeff",American,1957,2057,NULL
1690,Herman Goustin,"American, 1923-1997","Goustin, Herman",American,1923,1997,NULL
1691,William Morrell Harmer,"Canadian, 1859-1949","Harmer, William Morrell",Canadian,1859,1949,NULL
1692,Lindsley Foote Hall,"American, 1883-1969","Hall, Lindsley Foote",American,1883,1969,"From as early as 1919 through at least the 1940s, Hall was an archaeological draftsman for the Metropolitan Museum of Art. He died in Portland."
1693,Margaret Bourke-White,"American, 1904-1971","Bourke-White, Margaret",American,1904,1971,NULL
1694,Jeanette Moore,"American, active 1930s","Moore, Jeanette",American,1930,1930,NULL
1695,Edith Hastings Tracy,"American, active 1900s-1910s","Tracy, Edith Hastings",American,1900,1919,NULL
1696,Ray Jerome Baker,"American, 1880-1972","Baker, Ray Jerome",American,1880,1972,NULL
1697,G. R. Lambert & Co.,"German, active 1870s-1880s","Lambert, G. R., & Co.",German,1870,1889,G. R. Lambert & Co. was a partnership of G. R. Lambert and Gustav Richard Lambert.
1698,Waldemar Franz Herman Titzenthaler,"German, 1869-1937","Titzenthaler, Waldemar Franz Herman",German,1869,1937,NULL
1699,Macduff Everton,"American, born 1947","Everton, Macduff",American,1947,2047,NULL
1700,Wehrli A. G.,"Swiss, active 1890s-1910s",Wehrli A. G.,Swiss,1890,1919,"Wehrli A. G. was a partnership of Bruno Wehrli, Harry Wehrli, and Arthur Wehrli."
1701,Guerrilla Girls,"American, established 1985",Guerrilla Girls,American,1985,2019,NULL
1703,Pach Bros.,"American, active 1860s-1920s",Pach Bros.,American,1860,1929,"The original Pach Bros. was a partnership of Gustavus W. and Morris Pach, listed at 260 Bowery in New York City, 1866. Then G. W. Pach operated his own studio until about 1882 when the firm name changed to G. W. Pach & Bros. The partners then were G. W., Gothelef, and Oscar Pach. In 1885 the firm was again listed as Pach Bros., and operated at least into the early 1900s. The firm operated branch studios at Long Branch and Ocean Grove, New Jersey."
1704,William A. White,"American, born 1847","White, William A.",American,1847,1947,NULL
1705,Zedler & Vogel,"German, active 1890s",Zedler & Vogel,German,1890,1890,NULL
1706,Mark Hood,"American, 1960-1992","Hood, Mark",American,1960,1992,NULL
1707,Abraham Bogardus,"American, 1822-1908","Bogardus, Abraham",American,1822,1908,"Edward W. Bogardus is listed as an artist for the 229 Greenwich studio, and later as a photographer in the 363 Broadway studio, which in 1873 is renamed Bogardus Photographic Establishment under his proprietorship. The 1890 business directory for Edward Bogardus boasts ""the only photographer bearing this name"", although Abraham Bogardus' studio is still in operation. Neither man appears in the 1892 directory."
1708,William Notman,"Canadian, 1826-1891","Notman, William",Canadian,1826,1891,NULL
1709,George Gardner Rockwood,"American, 1832-1911","Rockwood, George Gardner",American,1832,1911,NULL
1711,Giorgio Sommer,"Italian, 1834-1914","Sommer, Giorgio",Italian,1834,1914,NULL
1713,United States. Army. Signal Corps,"American, 1863-1962",United States. Army. Signal Corps,American,1863,1962,NULL
1714,Zoe Leonard,"American, born 1961","Leonard, Zoe",American,1961,2061,NULL
1715,Charles P. Hibbard,"American, born ca. 1848","Hibbard, Charles P.",American,1848,1848,NULL
1716,Irwin B. Klein,"American, 1933-1974","Klein, Irwin B.",American,1933,1974,NULL
1717,William Bell,"American, 1830-1910","Bell, William",American,1830,1910,NULL
1718,John Albok,"American, 1894-1982","Albok, John",American,1894,1982,NULL
1719,Timothy H. O'Sullivan,"American, 1840-1882","O'Sullivan, Timothy H.",American,1840,1882,NULL
1720,James Thomson,"American, born ca. 1818","Thomson, James",American,1818,1918,NULL
1721,G. P. Putnam & Co.,"American, active 1852-1857","Putnam, George Palmer, & Co.",American,1852,1857,G. P. Putnam & Co. was a partnership of George Palmer Putnam and John W. Leslie.
1722,Constantine George Rickards,"British, born ca. 1875","Rickards, Constantine George",British,1875,1875,NULL
1724,Marcus Aurelius Root,"American, 1808-1888","Root, Marcus Aurelius",American,1808,1888,NULL
1726,Richard Avedon,"American, 1923-2004","Avedon, Richard",American,1923,2004,NULL
1727,Séraphin-Médéric Mieusement,"French, 1840-1905","Mieusement, Séraphin-Médéric",French,1840,1905,NULL
1728,Todd Walker,"American, 1917-1998","Walker, Todd",American,1917,1998,NULL
1731,West Coast Art Co.,"American, active 1909-1912",West Coast Art Co.,American,1909,1912,"West Coast Art Co. had Freeman M. Huddleston as President, Foster G. Huddleston as Secretary and J. T. Kelley as Manager. The California Panorama Co., also run by Freeman M. Huddleston, preceded West Coast Art Co. (1908), and McClellan Panorama Photo Co. succeeded it in 1913."
1732,X. Phot.,"French, active 1850s-1880s",X. Phot.,French,1850,1889,NULL
1733,Mrs. Schuyler Van Rensselaer,"American, 1851-1934","Van Rensselaer, Schuyler Mrs.",American,1851,1934,NULL
1734,Michael Spano,"American, born 1949","Spano, Michael",American,1949,2049,NULL
1735,Carl Mydans,"American, 1907-2004","Mydans, Carl",American,1907,2004,NULL
1736,Charles Dudley Arnold,"American, 1844-1927","Arnold, Charles Dudley",American,1844,1927,"Charles Dudley Arnold was a noted architectural photographer who was official photographer for the World's Columbian Exposition (Chicago, 1892) and the Pan-American Exposition (Buffalo, 1901)."
1737,Ernest C. Rost,"American, 1867-1940","Rost, Ernest C.",American,1867,1940,"On the 1900 Census, Rost's occupation is given as photographer; on his 1904 passport application, he gives it as scientist."
1739,Caithness & Bambridge,"English, active 1860s",Caithness & Bambridge,English,1860,1869,William Bambridge was a partner in Caithness & Bambridge.
1740,United States. Army Medical Museum,"American, established 1862",United States. Army Medical Museum,American,1862,1862,NULL
1741,Camera Club of New York,"American, established 1884",Camera Club of New York,American,1884,2019,NULL
1742,Bunny Adler,"American, active 1940s-1950s","Adler, Bunny",American,1940,1959,NULL
1743,"Eggleston Drug Co. [Laramie, WY]","American, active 1900s",Eggleston Drug Co.,American,1900,1900,"Frank Eggleston was a partner in Eggleston Drug Co. of Laramie, Wyoming."
1745,Madoka Takagi,"American, 1956-2015","Takagi, Madoka",American,1956,2015,NULL
1746,Francis Frith,"English, 1822-1898","Frith, Francis",English,1822,1898,NULL
1747,Edward Rode,"American, active 1900s","Rode, Edward",American,1900,1900,NULL
1748,John Thomson,"Scottish, 1837-1921","Thomson, John",Scottish,1837,1921,NULL
1756,Jean-Martin Charcot,"French, 1825-1893","Charcot, Jean-Martin",French,1825,1893,NULL
1757,DeWitt Clinton Falls,"American, 1864-1937","Falls, DeWitt Clinton",American,1864,1937,NULL
1758,Marc Ferrez,"Brazilian, 1843-1923","Ferrez, Marc",Brazilian,1843,1923,NULL
1759,Hubert Howe Bancroft,"American, 1832-1918","Bancroft, Hubert Howe",American,1832,1918,NULL
1760,Fratelli Alinari,"Italian, active 1850s-1910s","Alinari, Fratelli",Italian,1850,1919,"Fratelli Alinari was a partnership of Giuseppe Alinari, Leopoldo Alinari, Romualdo Alinari, and Vittorio Alinari."
1762,Alfred Stieglitz,"American, 1864-1946","Stieglitz, Alfred",American,1864,1946,NULL
1763,Dave Heath,"American, 1931-2016","Heath, Dave",American,1931,2016,NULL
1764,Robert Dewalt Good,"American, 1903-1974","Good, Robert Dewalt",American,1903,1974,NULL
1765,Jim Mason,"American, active 1980s","Mason, Jim",American,1980,1980,NULL
1766,J. A. Keller,"American, active 1970s","Keller, J. A.",American,1970,1970,NULL
1769,Aleksandr Mikhailovich Rodchenko,"Russian, 1891-1956","Rodchenko, Aleksandr Mikhailovich",Russian,1891,1956,NULL
1771,William Bradford,"American, 1823-1892","Bradford, William",American,1823,1892,NULL
1773,Gilliams Service,"American, active 1920s-1940s",Gilliams Service,American,1920,1949,NULL
1774,Geoffrey Grant,"American, active 1990s","Grant, Geoffrey",American,1990,1990,NULL
1776,George Washington Wilson,"Scottish, 1823-1893","Wilson, George Washington",Scottish,1823,1893,NULL
1778,Red Thunder Cloud,"Native American, 1919-1996","Cloud, Red Thunder",Native American,1919,1996,NULL
1780,Jacob Schloss,"American, 1857-1938","Schloss, Jacob",American,1857,1938,NULL
1782,Lou Stoumen,"American, 1917-1991","Stoumen, Lou",American,1917,1991,NULL
1784,Carl Norman & Co.,"English, active 1870s-1880s","Norman, Carl, & Co.",English,1870,1889,Carl Norman was a partner in Carl Norman & Co.
1785,Robert V. Reid,"Scottish, 1868-1948","Reid, Robert V.",Scottish,1868,1948,NULL
1786,Harald Kirschner,"German, active 1980s","Kirschner, Harald",German,1980,1980,NULL
1787,William M. Vander Weyde,"American, 1870-1929","Vander Weyde, William M.",American,1870,1929,NULL
1789,G. Blain,"Cuban, active 1900s","Blain, G.",Cuban,1900,1909,NULL
1790,Ernest Edwards,"English, 1837-1903","Edwards, Ernest",English,1837,1903,NULL
1791,Lovell Augustus Reeve,"English, 1814-1865","Reeve, Lovell Augustus",English,1814,1865,NULL
1792,Arvind Garg,"Indian, born 1946","Garg, Arvind",Indian,1946,1946,NULL
1793,Edwin Hale Lincoln,"American, 1848-1938","Lincoln, Edwin Hale",American,1848,1938,NULL
1797,Ramón Corral,"Cuban, active 1900s","Corral, Ramón",Cuban,1900,1909,NULL
1798,Sol Libsohn,"American, 1914-2001","Libsohn, Sol",American,1914,2001,NULL
1801,Detroit Publishing Co.,"American, active 1890s-1930s",Detroit Publishing Co.,American,1890,1939,NULL
1802,Anne Chamberlain,"American, active 1980s-1990s","Chamberlain, Ann",American,1980,1999,NULL
1803,Paul Etienne Lincoln,"English, born 1959","Lincoln, Paul Etienne",English,1959,1959,NULL
1804,Bruce Cratsley,"American, 1944-1998","Cratsley, Bruce",American,1944,1998,NULL
1807,Dennis Darling,"American, born ca. 1946","Darling, Dennis",American,1946,2046,NULL
1808,Lewis Koch,"American, born 1949","Koch, Lewis",American,1949,2049,"In addition to collections linked below, Lewis Koch's work is in the following public collections: ·         Allen Memorial Art Museum, Oberlin College, Oberlin, OH·         Bibliothèque Nationale, Paris, France·         Brooklyn Museum of Art, Brooklyn, NY·         Canadian Centre for Architecture, Montreal, Québec, Canada·         JP Morgan Chase (& Bank One) Art Collection, New York, NY, Chicago, IL & Tokyo, Japan·         Cincinnati Art Museum, Cincinnati, OH·         Corcoran Gallery of Art, Washington, DC·         Deutsche Bank Art Collection, Frankfurt, Germany and New York, NY·         DZ (formerly DG) Bank Photography Collection, Frankfurt, Germany·         Everson Museum of Art, Syracuse, NY·         H. F. Johnson Museum of Art, Cornell University, Ithaca, NY·         J. D. and C. T. MacArthur Foundation, Chicago, IL·         Kongelige Biblioteket (The Royal Library), Copenhagen, Denmark·         Library of Tibetan Works and Archives, Dharamsala, H.P., India·         LightWork, Syracuse University, Syracuse, NY·         Maison Européenne de la Photographie, Paris, France·         Metropolitan Museum of Art, New York, NY·         Milwaukee Art Museum, Milwaukee, WI·         Musée de la Photographie Charleroi, Belgium·         Museet for Fotokunst (National Museum of Photography), Odense, Denmark·         Museum für Kunst und Gewerbe, Hamburg, Germany·         Museum of Contemporary Art, Chicago, IL·         Museum of Contemporary Photography, Chicago, IL·         Museum of Fine Arts, St. Petersburg, FL·         Museum of Photographic Arts, San Diego, IL·         Nelson-Atkins Museum of Art, Kansas City, MO·         New York Public Library Art, Prints & Photographs Collection, New York, NY·         Julia J. Norrell Collection, Washington, DC·         Northwestern University Law Library Art Collection, Chicago, IL·         Oppenheimer Fund Art Collection, New York, NY·         Alain & Marie-Thérèse Perrin Collection, London, England & Paris, France·         Picker Art Gallery, Colgate University, Hamilton, NY·         Princeton University Art Museum, Princeton, NJ·         Harry Ransom Center Photography Collection, University of Texas, Austin, TX·         Rose Art Museum, Brandeis University, Waltham, MA·         San Francisco Museum of Modern Art, San Francisco, CA·         Staatsgalerie Stuttgart, Stuttgart, Germany·         Stanford University, Stanford, CA·         State Historical Society of Wisconsin, Madison, WI·         University of Texas, Harry Ransom Center Photography Collection, Austin, TX·         Whitney Museum of American Art, New York, NY·         The Winnipeg Art Gallery, Winnipeg, Manitoba, Canada "
1809,Valdir Cruz,"Brazilian, born 1952","Cruz, Valdir",Brazilian,1952,2052,NULL
1810,Ann Zane Shanks,"American, 1927-2015","Shanks, Ann Zane",American,1927,2015,NULL
1811,Susan Heske,"American, active 1990s-2000s","Heske, Susan",American,1990,2009,NULL
1812,Glasotype Photo Co.,"American, active 1900s",Glasotype Photo Co.,American,1900,1909,NULL
